stop_id,route_types
3185637,3
3185639,3
3185642,3
3185643,3
3185644,3
3185645,3
3185646,3
3185647,3
3185648,3
3185649,3
3185650,3
3185651,3
3185652,3
3185653,3
3185655,3
3185656,3
3185659,3
3185660,3
3185661,3
3185662,3
3185663,3
3185664,3
3185665,3
3185666,3
3185667,3
3185668,3
3185669,3
3185670,3
3185671,3
3185672,3
3185673,3
3185674,3
3185680,3
3185681,3
3185682,3
3185683,3
3185684,3
3185685,3
3185686,3
3185687,3
3185688,3
3185689,3
3185690,3
3185691,3
3185692,3
3185693,3
3185695,3
3185696,3
3185697,3
3185698,3
3185699,3
3185700,3
3185701,3
3185702,3
3185703,3
3185704,3
3185705,3
3185706,3
3185707,3
3185708,3
3185709,3
3185710,3
3185711,3
3185712,3
3185713,3
3185714,3
3185715,3
3185717,3
3185718,3
3185719,3
3185720,3
3185721,3
3185722,3
3185723,3
3185724,3
3185725,3
3185726,3
3185727,3
3185728,3
3185729,3
3185730,3
3185732,3
3185733,3
3185734,3
3185735,3
3185736,3
3185737,3
3185738,3
3185739,3
3185740,3
3185741,3
3185742,3
3185743,3
3185744,3
3185745,3
3185746,3
3185747,3
3185748,3
3185749,3
3185750,3
3185751,3
3185752,3
3185753,3
3185755,3
3185756,3
3185757,3
3185758,3
3185759,3
3185760,3
3185761,3
3185762,3
3185763,3
3185764,3
3185765,3
3185766,3
3185767,3
3185768,3
3185769,3
3185770,3
3185771,3
3185772,3
3185773,3
3185774,3
3185775,3
3185776,3
3185777,3
3185778,3
3185779,3
3185780,3
3185781,3
3185782,3
3185783,3
3185785,3
3185786,3
3185787,3
3185788,3
3185789,3
3185790,3
3185791,3
3185792,3
3185793,3
3185794,3
3185796,3
3185797,3
3185798,3
3185799,3
3185800,3
3185801,3
3185802,3
3185803,3
3185804,3
3185805,3
3185806,3
3185807,3
3185808,3
3185809,3
3185810,3
3185811,3
3185812,3
3185813,3
3185815,3
3185816,3
3185817,3
3185818,3
3185819,3
3185820,3
3185821,3
3185822,3
3185823,3
3185825,3
3185826,3
3185829,3
3185830,3
3185831,3
3185833,3
3185834,3
3185835,3
3185843,3
3185844,3
3185845,3
3185846,3
3185847,3
3185848,3
3185849,3
3185851,3
3185852,3
3185853,3
3185855,3
3185856,3
3185857,3
3185858,3
3185859,3
3185860,3
3185861,3
3185862,3
3185863,3
3185864,3
3185865,3
3185866,3
3185867,3
3185868,3
3185869,3
3185870,3
3185871,3
3185872,3
3185873,3
3185874,3
3185875,3
3185876,3
3185877,3
3185878,3
3185879,3
3185880,3
3185881,3
3185882,3
3185883,3
3185884,3
3185885,3
3185886,3
3185887,3
3185888,3
3185889,3
3185890,3
3185891,3
3185892,3
3185893,3
3185894,3
3185895,3
3185896,3
3185897,3
3185898,3
3185899,3
3185900,3
3185901,3
3185902,3
3185903,3
3185904,3
3185905,3
3185906,3
3189854,3
3189855,3
3189856,3
3189857,3
3189859,3
3189860,3
3189861,3
3189862,3
3189863,3
3189864,3
3189865,3
3189866,3
3189867,3
3189868,3
3189869,3
3189870,3
3189871,3
3189872,3
3189873,3
3189874,3
3189875,3
3189876,3
3189877,3
3189878,3
3189879,3
3189880,3
3189881,3
3189882,3
3189883,3
3189884,3
3189885,3
3189886,3
3189887,3
3189888,3
3189889,3
3189890,3
3189891,3
3189892,3
3189893,3
3189894,3
3189895,3
3189896,3
3189897,3
3189898,3
3189899,3
3189900,3
3189901,3
3189902,3
3189903,3
3189904,3
3189905,3
3189906,3
3189907,3
3189908,3
3189909,3
3189910,3
3189911,3
3189912,3
3189913,3
3189914,3
3189915,3
3189916,3
3189917,3
3189918,3
3189919,3
3189922,3
3189923,3
3189924,3
3189925,3
3189926,3
3189927,3
3189940,3
3189941,3
3189942,3
3189943,3
3189944,3
3189945,3
3189946,3
3189947,3
3189948,3
3189949,3
3189950,3
3189951,3
3189952,3
3189953,3
3189954,3
3189955,3
3189956,3
3189958,3
3189960,3
3189961,3
3189962,3
3189963,3
3189964,3
3189965,3
3189966,3
3189967,3
3189968,3
3189969,3
3189970,3
3189971,3
