stop_id,stop_name,stop_lat,stop_lon
3211903,"Zelzate, Verbindingsstraat",51.196133,3.821595
3211904,"Zelzate, Verbroederingslaan",51.196969,3.816258
3211909,"Lokeren, Waasmunsterbaan",51.106831,4.008552
3211910,"Lokeren, Oude Bruglaan",51.104489,4.002082
3211912,"Lokeren, Markt",51.106142,3.990009
3211916,"Wachtebeke, Molenhoek",51.171842,3.869044
3211920,"Daknam, Sijpstraat",51.126423,3.966991
3211943,"Zelzate, Verbroederingslaan",51.197077,3.816297
3211945,"Lokeren, Groenstraat",51.114423,4.01498
3211947,"Sint-Niklaas, Hofstraat",51.167844,4.137999
3211956,"Verrebroek, Bralstraat",51.270044,4.185426
3211957,"Verrebroek, Rijkstraat",51.259284,4.188159
3211958,"Verrebroek, Dorp",51.255426,4.188818
3211960,"Vrasene, Schoorstraat",51.241952,4.189887
3211965,"Nieuwkerken, Kriekelaarstraat",51.207,4.192388
3211968,"Nieuwkerken, Dorp",51.192916,4.177876
3211971,"Sint-Niklaas, Iepenstraat",51.178529,4.154427
3211973,"Sint-Niklaas, Noordlaan",51.173673,4.149295
3211974,"Nieuwkerken, Rusthuis",51.193225,4.173933
3211975,"Eksaarde, Keerken",51.140155,3.956406
3211976,"Eksaarde, Brug",51.146264,3.953829
3211981,"Moerbeke-Waas, Markt",51.174253,3.941057
3212003,"Sinaai, Haeltermanlaan",51.154802,4.043107
3212014,"Waasmunster, Langeveld",51.118931,4.036814
3212015,"Belsele, Hulstendreef",51.146578,4.095572
3212018,"Belsele, Dubbelhofstraat",51.141851,4.078084
3212023,"Sinaai, Mezenstraat",51.151377,4.049411
3212027,"Sint-Gillis-Waas, Sint-Helena",51.222835,4.125607
3212033,"Melsele, Sint-Elisabethstraat",51.220357,4.287048
3212036,"Beveren-Waas, Parein",51.217612,4.270653
3212044,"Beveren-Waas, Kruisstraat",51.194848,4.217412
3212047,"Sint-Niklaas, Jagersdreef",51.182642,4.197141
3212053,"Haasdonk, Bergstraat",51.178992,4.23096
3212055,"Sint-Niklaas, Krekel",51.170578,4.212239
3212058,"Sint-Niklaas, Grote Heimelinkstraat",51.172417,4.164802
3212059,"Sint-Niklaas, Nieuwe Molenstraat",51.171034,4.160606
3212066,"Haasdonk, Hof Ter Saksen",51.197002,4.235972
3212070,"Sint-Niklaas, Heilige Familie",51.153249,4.160309
3212075,"Sint-Niklaas, Vlyminckshoek",51.175336,4.114327
3212076,"Sint-Pauwels, Patershoek",51.18038,4.110268
3212077,"Sint-Pauwels, Bermijnstraat",51.190039,4.104063
3212087,"Sint-Pauwels, Klapdorp",51.191416,4.09288
3212089,"Sint-Pauwels, Lijkveldestraat",51.185226,4.081968
3212093,"Kemzeke, Kwakkelstraat",51.191653,4.057393
3212094,"Stekene, IJzerhandstraat",51.197846,4.054137
3212096,"Stekene, Spoorwegwegel",51.201253,4.041675
3212098,"Stekene, Bormte",51.202286,4.03771
3212100,"Stekene, Boterbloemstraat",51.209159,4.029564
3212102,"Stekene, Prinsenstraat",51.217268,4.020378
3212106,"Koewacht, Grens",51.224762,3.977948
3212114,"Moerbeke-Waas, Oostvaart",51.176996,3.977012
3212135,"Sint-Niklaas, Roskamstraat",51.129893,4.131644
3212157,"Kallo, Fabriekstraat",51.255016,4.276159
3212162,"Vrasene, Kerk",51.219533,4.195196
3212175,"Zelzate, Charles Andriesstraat",51.193876,3.807621
3212178,"Antwerpen, Vlaams Hoofdlaan",51.214856,4.381402
3212179,"Antwerpen, Galgenweel",51.210439,4.373771
3212190,"Burcht, Kruibeeksesteenweg",51.188757,4.325499
3212191,"Kruibeke, Watermolenstraat",51.183294,4.31989
3212192,"Kruibeke, Warandestraat",51.180053,4.317391
3212198,"Bazel, Kouterwegel",51.152266,4.299842
3212202,"Rupelmonde, De Frieslaan",51.131252,4.292595
3212207,"Steendorp, Blauwhofstraat",51.129664,4.259974
3212221,"Temse, Eurolaan",51.1363,4.186681
3212223,"Sint-Niklaas, Hertenhof",51.154509,4.167237
3212234,"Sint-Gillis-Waas, Roskamstraat",51.195018,4.145329
3212235,"Sint-Gillis-Waas, Dagsterrestraat",51.203703,4.147168
3212240,"Sint-Gillis-Waas, Broekstraat",51.225163,4.116509
3212269,"Verrebroek, Aven Ackers",51.249934,4.189764
3212270,"Vrasene, Schoorstraat",51.242098,4.190084
3212278,"Nieuwkerken, Dorp",51.193096,4.177957
3212281,"Sint-Niklaas, Iepenstraat",51.178422,4.154559
3212286,"Eksaarde, Keerken",51.139947,3.956313
3212295,"Moerbeke-Waas, Fortstraat",51.172454,3.912398
3212307,"Belsele, Puivelde Kerk",51.173297,4.070109
3212310,"Sinaai, Molenstraat",51.163649,4.051842
3212313,"Sinaai, Haeltermanlaan",51.154777,4.043265
3212317,"Sinaai, Leebrugstraat",51.156238,4.010657
3212322,"Eksaarde, Brug",51.146247,3.954659
3212331,"Belsele, Dubbelhofstraat",51.142003,4.078023
3212343,"Antwerpen, Sporthal Linkeroever",51.219987,4.369838
