stop_id,stop_name
2993580,Obdam
2993582,Oberhausen-Sterkrade
2993585,Oudenbosch
2993586,Oudenbosch
2993593,Oldenzaal
2993594,Oldenzaal
2993595,Oldenzaal
2993602,Ommen
2993603,Ommen
2993606,Opheusden
2993607,Opheusden
2993609,Osnabrück Hbf
2993614,Olst
2993615,Olst
2993618,Oisterwijk
2993619,Oisterwijk
2993623,Oosterbeek
2993624,Oosterbeek
2993627,Overveen
2993628,Overveen
2993631,Oss West
2993632,Oss West
2993634,Paris-Nord
2993639,Purmerend Overwhere
2993640,Purmerend Overwhere
2993643,Purmerend
2993644,Purmerend
2993650,St.Pölten Hbf
2993654,Praha hl.n.
2993659,Putten
2993660,Putten
2993663,Amsterdam RAI
2993664,Amsterdam RAI
2993665,Amsterdam RAI
2993666,Amsterdam RAI
2993670,Raalte
2993671,Raalte
2993674,Rilland-Bath
2993675,Rilland-Bath
2993677,Baden-Baden
2993680,Roodeschool
2993684,Freiburg (Breisgau) Hbf
2993686,Rheine
2993689,Rhenen
2993692,Ruurlo
2993693,Ruurlo
2993702,Roermond
2993703,Roermond
2993705,Roermond
2993706,Roermond
2993708,Offenburg
2993710,Rosenheim
2993713,Rosmalen
2993714,Rosmalen
2993717,Roosendaal
2993718,Roosendaal
2993719,Roosendaal
2993720,Roosendaal
2993721,Roosendaal
2993722,Roosendaal
2993723,Roosendaal
2993724,Roosendaal
2993725,Roosendaal
2993728,Rijssen
2993729,Rijssen
2993733,Rijswijk
2993734,Rijswijk
2993735,Rijswijk
2993736,Rijswijk
2993739,Rotterdam Alexander
2993740,Rotterdam Alexander
2993755,Rotterdam Centraal
2993756,Rotterdam Centraal
2993757,Rotterdam Centraal
2993758,Rotterdam Centraal
2993761,Rotterdam Centraal
2993762,Rotterdam Centraal
2993765,Rotterdam Centraal
2993766,Rotterdam Centraal
2993767,Rotterdam Centraal
2993768,Rotterdam Centraal
2993769,Rotterdam Centraal
2993770,Rotterdam Centraal
2993771,Rotterdam Centraal
2993776,Rotterdam Noord
2993777,Rotterdam Noord
2993795,Reuver
2993796,Reuver
2993807,Spaubeek
2993808,Spaubeek
2993816,Soestdijk
2993819,Scheemda
2993820,Scheemda
2993823,Schiedam Centrum
2993824,Schiedam Centrum
2993825,Schiedam Centrum
2993826,Schiedam Centrum
2993831,Sliedrecht
2993832,Sliedrecht
2993835,Sliedrecht Baanhoek
2993838,Houthem-St. Gerlach
2993839,Houthem-St. Gerlach
2993842,Schagen
2993844,Schagen
2993855,Sneek
2993856,Sneek
2993859,Sneek Noord
2993860,Sneek Noord
2993866,Swalmen
2993869,Schinnen
2993870,Schinnen
2993873,Schin op Geul
2993874,Schin op Geul
2993877,Santpoort Noord
2993878,Santpoort Noord
2993882,Santpoort Zuid
2993883,Santpoort Zuid
2993886,Susteren
2993887,Susteren
2993890,Sassenheim
2993891,Sassenheim
2993894,Soest
2993895,Soest
2993900,Sittard
2993902,Sittard
2993903,Sittard
2993904,Sittard
2993906,Sittard
2993907,Sittard
2993914,Stedum
2993917,London St. Pancras Int.
2993921,Stavoren
2993924,Soest Zuid
2993927,Sauwerd
2993928,Sauwerd
2993931,Steenwijk
2993932,Steenwijk
2993935,Tilburg
2993936,Tilburg
2993937,Tilburg
2993938,Tilburg
2993945,Tilburg Universiteit
2993946,Tilburg Universiteit
2993947,Tilburg Universiteit
2993950,Tegelen
2993956,Tiel
2993957,Tiel
2993962,Tiel Passewaaij
2993964,Stuttgart Hbf
2993966,Ulm Hbf
2993973,Uithuizermeeden
2993974,Uithuizermeeden
2993977,Uithuizen
2993980,Usquert
2993981,Usquert
2993986,Utrecht Centraal
2993987,Utrecht Centraal
2993990,Utrecht Centraal
2993993,Utrecht Centraal
2993996,Utrecht Centraal
2993997,Utrecht Centraal
2994000,Utrecht Centraal
2994003,Utrecht Centraal
2994004,Utrecht Centraal
2994005,Utrecht Centraal
2994006,Utrecht Centraal
2994007,Utrecht Centraal
2994010,Utrecht Centraal
2994013,Utrecht Centraal
2994016,Utrecht Centraal
2994019,Utrecht Centraal
2994024,Uitgeest
2994025,Uitgeest
2994026,Uitgeest
2994027,Uitgeest
2994028,Uitgeest
2994029,Uitgeest
2994030,Uitgeest
2994033,Utrecht Lunetten
2994034,Utrecht Lunetten
2994037,Utrecht Overvecht
2994038,Utrecht Overvecht
2994039,Utrecht Overvecht
2994042,Utrecht Terwijde
2994043,Utrecht Terwijde
2994046,Utrecht Zuilen
2994047,Utrecht Zuilen
2994052,Voorburg
2994053,Voorburg
2994056,Vorden
2994057,Vorden
2994060,Voerendaal
2994061,Voerendaal
2994064,Veendam
2994067,Voorst-Empe
2994078,Vroomshoop
2994079,Vroomshoop
2994082,Valkenburg
2994083,Valkenburg
2994084,Valkenburg
2994087,Venlo
2994088,Venlo
2994089,Venlo
2994090,Venlo
2994093,Venlo
2994094,Venlo
2994095,Venlo
2994096,Venlo
2994099,Vierlingsbeek
2994100,Vierlingsbeek
2994106,Veenendaal Centrum
2994107,Veenendaal Centrum
2994110,Veenendaal West
2994111,Veenendaal West
2994114,Velp
2994115,Velp
2994118,Venray
2994119,Venray
2994120,Venray
2994128,Vlissingen Souburg
2994129,Vlissingen Souburg
2994138,Varsseveld
2994139,Varsseveld
2994142,Vriezenveen
2994146,Waddinxveen
2994147,Waddinxveen
2994150,Waddinxveen Noord
2994154,Wien Hbf
2994157,Wijchen
2994158,Wijchen
2994159,Wijchen
2994162,Woerden
2994163,Woerden
2994164,Woerden
2994165,Woerden
2994168,Wierden
2994169,Wierden
2994170,Wierden
2994175,Wolfheze
2994176,Wolfheze
2994177,Wolfheze
2994180,Warffum
2994181,Warffum
2994184,Wijhe
2994185,Wijhe
2994189,Workum
2994190,Workum
2994193,Wehl
2994194,Wehl
2994197,Wormerveer
2994198,Wormerveer
2994199,Wormerveer
2994200,Wormerveer
2994202,Wörgl Hbf
2994205,Weesp
2994206,Weesp
2994207,Weesp
2994208,Weesp
2994214,Winschoten
2994215,Winschoten
2994218,Winsum
2994219,Winsum
2994222,Weert
2994224,Weert
2994225,Weert
2994228,Westervoort
2994229,Westervoort
2994231,Würzburg Hbf
2994234,Wolvega
2994235,Wolvega
2994239,Winterswijk
2994240,Winterswijk
2994243,Winterswijk West
2994246,Wezep
2994247,Wezep
2994254,Zetten-Andelst
2994255,Zetten-Andelst
2994258,Zuidbroek
2994259,Zuidbroek
2994260,Zuidbroek
2994263,Zaltbommel
2994264,Zaltbommel
2994267,Zaandam
2994268,Zaandam
2994269,Zaandam
2994270,Zaandam
2994273,Zaandam Kogerveld
2994274,Zaandam Kogerveld
2994277,Zuidhorn
2994278,Zuidhorn
2994279,Zuidhorn
2994283,Zwolle
2994284,Zwolle
2994285,Zwolle
2994286,Zwolle
2994287,Zwolle
2994288,Zwolle
2994289,Zwolle
2994290,Zwolle
2994291,Zwolle
2994294,Zwolle
2994295,Zwolle
2994298,Zwolle
2994301,Zwolle
2994302,Zwolle
2994303,Zwolle
2994306,Zwolle Stadshagen
2994309,Lage Zwaluwe
2994310,Lage Zwaluwe
2994311,Lage Zwaluwe
2994312,Lage Zwaluwe
2994315,Zutphen
2994316,Zutphen
2994317,Zutphen
2994318,Zutphen
2994319,Zutphen
2994320,Zutphen
2994321,Zutphen
2994327,Zoetermeer
2994328,Zoetermeer
2994331,Zoetermeer Oost
2994332,Zoetermeer Oost
2994334,Zürich HB
2994337,Zevenaar
2994338,Zevenaar
2994339,Zevenaar
2994352,Zaandijk Zaanse Schans
2994353,Zaandijk Zaanse Schans
3065336,Almere Centrum
3065337,Almere Centrum
3065338,Almere Centrum
3065339,Almere Centrum
3065346,Apeldoorn
3065347,Apeldoorn
3065348,Apeldoorn
3065349,Apeldoorn
3065352,Arnemuiden
3065353,Arnemuiden
3065368,Beverwijk
3065370,Beverwijk
3065374,'s-Hertogenbosch Oost
3065375,'s-Hertogenbosch Oost
3065378,Krommenie-Assendelft
3065379,Krommenie-Assendelft
3065382,Rheden
3065383,Rheden
3065387,Schiphol Airport
3065389,Schiphol Airport
3065390,Schiphol Airport
3065391,Schiphol Airport
3065394,Voorschoten
3065395,Voorschoten
3065396,Voorschoten
3065397,Voorschoten
3133716,Breda
3133717,Breda
3133718,Breda
3133719,Breda
3133722,Breda
3133723,Breda
3133726,Bloemendaal
3133727,Bloemendaal
3133730,Dordrecht Zuid
3133731,Dordrecht Zuid
3133736,Deventer Colmschate
3133737,Deventer Colmschate
3133740,Ede-Wageningen
3133743,Ede-Wageningen
3133744,Ede-Wageningen
3133745,Ede-Wageningen
3133785,Rotterdam Blaak
3133786,Rotterdam Blaak
3133787,Rotterdam Blaak
3133788,Rotterdam Blaak
3133793,Twello
3133794,Twello
3133798,Den Haag Ypenburg
3133799,Den Haag Ypenburg
3160112,Arnhem Centraal
3160113,Arnhem Centraal
3160114,Arnhem Centraal
3160115,Arnhem Centraal
3160116,Arnhem Centraal
3160117,Arnhem Centraal
3160119,Arnhem Centraal
3160120,Arnhem Centraal
3160121,Arnhem Centraal
3160122,Arnhem Centraal
3160123,Arnhem Centraal
3160126,Breda-Prinsenbeek
3160127,Breda-Prinsenbeek
3160130,Bovenkarspel Flora
3160151,Hoorn Kersenboogerd
3160152,Hoorn Kersenboogerd
3160155,Heerenveen
3160156,Heerenveen
3160159,Houten Castellum
3160160,Houten Castellum
3160163,Nijmegen Lent
3160164,Nijmegen Lent
3160167,Purmerend Weidevenne
3160168,Purmerend Weidevenne
3160177,Tilburg Reeshof
3160178,Tilburg Reeshof
3160181,Voorhout
3160182,Voorhout
3160185,Vleuten
3160186,Vleuten
3160189,Zevenbergen
3160190,Zevenbergen
3244257,Rotterdam Stadion
3244258,Rotterdam Stadion
3244260,Rotterdam Stadion
3244261,Rotterdam Stadion
3541108,Hamburg-Harburg
3541109,Bremen Hbf
3541110,Kassel-Wilhelmshöhe
3541111,Osnabrück Altstadt
3541114,Wien Meidling
3570040,Düsseldorf-Bilk
3618135,Bad Bentheim
3618136,Bad Bentheim
3618140,Berlin-Spandau
3618141,Berlin-Spandau
3618143,Berlin-Spandau
3618144,Bünde (Westf)
3618145,Bünde (Westf)
3618147,Wittenberge
3618149,Hannover Hbf
3618150,Hannover Hbf
3618151,Hannover Hbf
3618154,Osnabrück Hbf
3618155,Osnabrück Hbf
3618156,Rheine
3618157,Rheine
3667680,Berlin Hbf
3667681,Berlin Hbf
3667682,Berlin Hbf
3667685,Berlin Südkreuz
3670797,Diemen Zuid
3670798,Diemen Zuid
3670802,Deventer
3670806,Deventer
3670809,Deventer
3670810,Deventer
3670811,Deventer
3670818,Groningen
3670821,Groningen
3670824,Groningen
3670827,Groningen
3670830,Groningen
3670832,Groningen
3670835,Groningen
3670840,Den Haag HS
3670841,Den Haag HS
3670842,Den Haag HS
3670843,Den Haag HS
3670844,Den Haag HS
3670847,Grou-Jirnsum
3670848,Grou-Jirnsum
3670851,Helmond Brandevoort
3670852,Helmond Brandevoort
3670881,Lelystad Centrum
3670882,Lelystad Centrum
3670883,Lelystad Centrum
3670884,Lelystad Centrum
3670887,Rotterdam Zuid
3670888,Rotterdam Zuid
3670889,Rotterdam Zuid
